Core Table,Field,Alt Description,Type,Max Size,Unique?,Mandatory,Ref Field,Link Ref,Link Match,Default If Blank
employees,username,Employee User Name,S,50,Y,Y,N,,,
employees,title,Employee Title,S,30,N,Y,N,,,
employees,firstname,Employee First Name,S,150,N,Y,N,,,
employees,surname,Employee Surname,S,150,N,Y,N,,,
employees,position,Position,S,250,N,N,N,,,
employees,address1,Address Line 1,S,60,N,N,N,,,
employees,address2,Address Line 2,S,60,N,N,N,,,
employees,city,City,S,50,N,N,N,,,
employees,county,County,S,70,N,N,N,,,
employees,postcode,Post Code,S,50,N,N,N,,,
employees,telno,Telephone Number,S,50,N,N,N,,,
employees,mobileno,Mobile Number,S,50,N,N,N,,,
employees,faxno,Fax Number,S,50,N,N,N,,,
employees,email,Email Address,S,50,N,N,N,,,
employees,defaultSubAccountId,Default SubAccount,S,50,N,Y,F,accountsSubAccounts.subAccountId,accountsSubAccounts.Description,
